,Open
2023-08-28,156.1776428
2023-08-29,156.099884
2023-08-30,156.0495758
2023-08-31,155.9664154
2023-09-01,155.9073334
2023-09-02,155.8385162
2023-09-03,155.7843018
2023-09-04,155.7493896
2023-09-05,155.7839966
2023-09-06,155.7926788
2023-09-07,155.8098145
2023-09-08,155.8531647
2023-09-09,155.8912354
2023-09-10,155.9404755
2023-09-11,155.9960785
2023-09-12,156.0531158
2023-09-13,156.125351
2023-09-14,156.1942596
2023-09-15,156.2079926
2023-09-16,156.1517639
2023-09-17,156.0603638
2023-09-18,155.9498901
2023-09-19,155.8420105
2023-09-20,155.7576294
2023-09-21,155.6674805
2023-09-22,155.6033173
2023-09-23,155.5950623
2023-09-24,155.6955566
2023-09-25,155.8063965
2023-09-26,155.9611969
2023-09-27,156.1569366
2023-09-28,156.3224945
2023-09-29,156.4730835
2023-09-30,156.6207275
2023-10-01,156.7441864
2023-10-02,156.8404236
2023-10-03,156.8930359
2023-10-04,156.9365845
2023-10-05,156.9738007
2023-10-06,156.9935913
2023-10-07,157.0147705
2023-10-08,157.0281067
2023-10-09,157.0282593
2023-10-10,157.0306091
2023-10-11,157.0343628
2023-10-12,157.029129
2023-10-13,157.0188141
2023-10-14,157.0035858
2023-10-15,157.0064697
2023-10-16,157.0389404
2023-10-17,157.0783844
2023-10-18,157.112442
2023-10-19,157.140976
2023-10-20,157.1421051
2023-10-21,157.1404877
2023-10-22,157.1441803
2023-10-23,157.1454163
2023-10-24,157.1400604
2023-10-25,157.1182556
2023-10-26,157.0874481
2023-10-27,157.0307312
2023-10-28,156.9905701
2023-10-29,156.9572144
2023-10-30,156.9197388
2023-10-31,156.8602753
2023-11-01,156.8201294
2023-11-02,156.7991486
2023-11-03,156.7794037
2023-11-04,156.7660065
2023-11-05,156.7555237
2023-11-06,156.7526855
2023-11-07,156.7463379
2023-11-08,156.7552032
2023-11-09,156.79776
2023-11-10,156.8443909
2023-11-11,156.8662109
2023-11-12,156.9007721
2023-11-13,156.9416046
2023-11-14,156.977417
2023-11-15,157.0001068
2023-11-16,157.0220947
2023-11-17,157.0388489
2023-11-18,157.0578461
2023-11-19,157.0673828
2023-11-20,157.0912476
2023-11-21,157.120697
2023-11-22,157.1539612
2023-11-23,157.1650696
2023-11-24,157.1530457
2023-11-25,157.1374664
2023-11-26,157.2041168
2023-11-27,157.3037262
2023-11-28,157.4195099
2023-11-29,157.5223999
2023-11-30,157.6053162
2023-12-01,157.6578979
2023-12-02,157.7181244
2023-12-03,157.7597961
2023-12-04,157.8052673
2023-12-05,157.8462372
2023-12-06,157.8779449
2023-12-07,157.9254761
2023-12-08,157.9863739
2023-12-09,158.0482483
2023-12-10,158.0874939
2023-12-11,158.1109161
2023-12-12,158.1338806
2023-12-13,158.1562805
2023-12-14,158.1816711
2023-12-15,158.2170258
2023-12-16,158.2583923
2023-12-17,158.3151703
2023-12-18,158.3799744
2023-12-19,158.4351501
2023-12-20,158.4731903
2023-12-21,158.4826202
2023-12-22,158.4781799
2023-12-23,158.4548187
2023-12-24,158.4407806
2023-12-25,158.4433899
2023-12-26,158.4592438
2023-12-27,158.4702759
2023-12-28,158.4450378
2023-12-29,158.4152985
2023-12-30,158.3844604
2023-12-31,158.3729858
2024-01-01,158.3554688
2024-01-02,158.3373718
2024-01-03,158.3384399
2024-01-04,158.3398132
2024-01-05,158.3631897
2024-01-06,158.3851776
2024-01-07,158.4176178
2024-01-08,158.4493256
2024-01-09,158.4954224
2024-01-10,158.5221252
2024-01-11,158.5146942
2024-01-12,158.4937439
2024-01-13,158.491272
2024-01-14,158.4631958
2024-01-15,158.4053955
2024-01-16,158.3894653
2024-01-17,158.3686218
2024-01-18,158.3527222
2024-01-19,158.3473969
2024-01-20,158.308197
2024-01-21,158.2921295
2024-01-22,158.2923279
2024-01-23,158.2821808
2024-01-24,158.2720642
2024-01-25,158.2629852
2024-01-26,158.2364349
2024-01-27,158.1932678
2024-01-28,158.145752
2024-01-29,158.1480713
2024-01-30,158.1639709
2024-01-31,158.103363
2024-02-01,157.9987183
2024-02-02,157.9147797
2024-02-03,157.8776093
2024-02-04,157.8590393
2024-02-05,157.8102112
2024-02-06,157.7077484
2024-02-07,157.592865
2024-02-08,157.469574
2024-02-09,157.35495
2024-02-10,157.2772064
2024-02-11,157.1769409
2024-02-12,157.001236
2024-02-13,156.844101
2024-02-14,156.6664581
2024-02-15,156.5019226
