Date,Apple,BAC,PFE,PG,XOM,Market,Apple%,BAC%,PFE%,PG%,XOM%,Market%,,,,,
2022-12-20,153.7900696,34.30847931,59.26481628,143.1882019,87.95694733,95.70170288,6.32061E-05,-0.000172979,-0.000601276,-3.00503E-05,8.06689E-06,-7.41107E-05,,,,,
2022-12-21,153.7786865,34.28140259,59.22946167,143.1812744,87.97072601,95.68831024,-7.40169E-05,-0.000789214,-0.000596553,-4.83803E-05,0.000156653,-0.000139941,,,,,
2022-12-22,153.7993774,34.31201935,59.22174835,143.175354,87.97174835,95.6960495,0.00013455,0.000893101,-0.000130228,-4.13491E-05,1.16214E-05,8.08799E-05,,,,,
2022-12-23,153.8492584,34.32104492,59.23548889,143.1754456,87.96112823,95.70847321,0.000324325,0.000263044,0.000232018,6.39445E-07,-0.000120722,0.000129825,,,,,
2022-12-24,153.9017181,34.33540344,59.2440834,143.1813507,87.95168304,95.72284775,0.000340981,0.000418359,0.000145091,4.12442E-05,-0.000107379,0.000150191,,,,,
2022-12-25,153.9432831,34.34208679,59.24233246,143.1828613,87.93262482,95.7286377,0.000270075,0.000194649,-2.95548E-05,1.05504E-05,-0.00021669,6.04866E-05,,,,,
2022-12-26,153.9766541,34.3330307,59.23719025,143.1789246,87.9463501,95.73442993,0.000216774,-0.000263702,-8.67996E-05,-2.74947E-05,0.000156089,6.05068E-05,,,,,
2022-12-27,154.0072479,34.32229233,59.24556732,143.171875,87.95174408,95.73974533,0.000198692,-0.000312771,0.000141416,-4.9236E-05,6.13326E-05,5.55223E-05,,,,,
2022-12-28,154.0387115,34.32798004,59.2525177,143.1678162,87.93565369,95.74453583,0.0002043,0.000165715,0.000117315,-2.83494E-05,-0.000182946,5.00367E-05,,,,,
2022-12-29,154.0582733,34.313797,59.23697281,143.17453,87.92789459,95.74229355,0.000126993,-0.000413163,-0.00026235,4.68951E-05,-8.8236E-05,-2.34194E-05,,,,,
2022-12-30,154.0654755,34.30648804,59.22261429,143.1726379,87.91954041,95.73735123,4.67495E-05,-0.000213004,-0.000242391,-1.32153E-05,-9.50118E-05,-5.16211E-05,,,,,
2022-12-31,154.0633392,34.30231857,59.20682526,143.1682892,87.91531372,95.73121719,-1.38657E-05,-0.000121536,-0.000266605,-3.03742E-05,-4.80745E-05,-6.40715E-05,,,,,
2023-01-01,154.0343933,34.28690338,59.1728363,143.1627808,87.91648865,95.71468048,-0.000187883,-0.000449392,-0.000574072,-3.84752E-05,1.33643E-05,-0.000172741,,,,,
2023-01-02,153.995636,34.28066254,59.14161682,143.1672058,87.91622162,95.70026855,-0.000251615,-0.000182018,-0.000527598,3.09092E-05,-3.0373E-06,-0.000150572,,,,,
2023-01-03,153.9575195,34.26628113,59.1210556,143.1779175,87.92578888,95.68971252,-0.000247516,-0.00041952,-0.000347661,7.48193E-05,0.000108822,-0.000110303,,,,,
2023-01-04,153.9206848,34.26619339,59.11190796,143.1865082,87.94060516,95.6851799,-0.000239252,-2.56048E-06,-0.000154727,6.00002E-05,0.000168509,-4.73679E-05,,,,,
2023-01-05,153.8878784,34.27884674,59.07744598,143.1938934,87.95406342,95.6784256,-0.000213138,0.000369266,-0.000582995,5.15779E-05,0.000153038,-7.05888E-05,,,,,
2023-01-06,153.8573914,34.28157043,59.04594421,143.2040558,87.96906281,95.67160492,-0.000198112,7.9457E-05,-0.000533228,7.09692E-05,0.000170537,-7.12875E-05,,,,,
2023-01-07,153.8412018,34.29042816,59.0181694,143.1941986,87.97514343,95.66382828,-0.000105225,0.000258382,-0.000470393,-6.88331E-05,6.91223E-05,-8.12847E-05,,,,,
2023-01-08,153.8382263,34.28277588,58.98692322,143.1801453,87.97886658,95.65338745,-1.93411E-05,-0.000223161,-0.000529433,-9.81419E-05,4.23204E-05,-0.000109141,,,,,
2023-01-09,153.8587799,34.31888199,58.99962997,143.1578979,87.97945404,95.66292877,0.000133605,0.001053185,0.000215417,-0.00015538,6.67732E-06,9.97489E-05,,,,,
2023-01-10,153.8950653,34.35329437,58.99584579,143.1535492,87.97290802,95.67413254,0.000235836,0.001002725,-6.4139E-05,-3.03773E-05,-7.4404E-05,0.000117117,,,,,
2023-01-11,153.9285278,34.35656738,59.00811005,143.1663818,87.96592712,95.68510284,0.000217437,9.5275E-05,0.000207883,8.96425E-05,-7.93528E-05,0.000114663,,,,,
2023-01-12,153.9540863,34.34667969,59.01465607,143.1573792,87.97142029,95.6888443,0.000166041,-0.000287796,0.000110934,-6.28827E-05,6.24465E-05,3.91018E-05,,,,,
2023-01-13,153.9755554,34.33258438,59.01711273,143.136261,87.96220398,95.6847435,0.000139451,-0.000410383,4.1628E-05,-0.000147517,-0.000104765,-4.28556E-05,,,,,
2023-01-14,154.0244598,34.33539963,59.0146904,143.1222076,87.96160889,95.69167328,0.000317612,8.19993E-05,-4.10446E-05,-9.81816E-05,-6.76532E-06,7.2423E-05,,,,,
2023-01-15,154.0972595,34.33310318,58.95318222,143.1183929,87.95217133,95.69082184,0.00047265,-6.68828E-05,-0.001042252,-2.66534E-05,-0.000107292,-8.89775E-06,,,,,
2023-01-16,154.1424713,34.33528137,58.92142105,143.1110077,87.94902039,95.69184036,0.000293398,6.34429E-05,-0.000538752,-5.16024E-05,-3.58256E-05,1.06439E-05,,,,,
2023-01-17,154.1843872,34.35276794,58.88989258,143.1047516,87.94697571,95.695755,0.00027193,0.000509289,-0.000535094,-4.3715E-05,-2.32484E-05,4.09088E-05,,,,,
2023-01-18,154.2371368,34.35120392,58.86200714,143.114563,87.95326996,95.70363617,0.00034212,-4.55284E-05,-0.000473518,6.8561E-05,7.15687E-05,8.23565E-05,,,,,
2023-01-19,154.3322754,34.35561371,58.84688568,143.1216125,87.94756317,95.7207901,0.000616833,0.000128374,-0.000256897,4.92582E-05,-6.48843E-05,0.00017924,,,,,
2023-01-20,154.4675598,34.36513138,58.83085632,143.1282959,87.93383789,95.74513626,0.000876579,0.000277034,-0.000272391,4.6697E-05,-0.000156062,0.000254346,,,,,
2023-01-21,154.5788727,34.36634445,58.75390625,143.1351624,87.94138336,95.75513382,0.000720623,3.52996E-05,-0.001307988,4.79741E-05,8.58085E-05,0.000104418,,,,,
2023-01-22,154.6690369,34.36890411,58.70883179,143.1396027,87.9392395,95.76512299,0.000583289,7.44816E-05,-0.000767174,3.10218E-05,-2.43783E-05,0.00010432,,,,,
2023-01-23,154.7729645,34.36193466,58.66569901,143.137146,87.93454742,95.77445831,0.000671935,-0.000202784,-0.00073469,-1.71627E-05,-5.33559E-05,9.74815E-05,,,,,
2023-01-24,154.8672791,34.36858368,58.6431694,143.1316528,87.92549896,95.78723679,0.000609374,0.0001935,-0.000384034,-3.83769E-05,-0.0001029,0.000133423,,,,,
2023-01-25,154.9387207,34.3680954,58.55771637,143.1335602,87.92292023,95.78420258,0.000461309,-1.42072E-05,-0.001457169,1.33258E-05,-2.93286E-05,-3.16766E-05,,,,,
2023-01-26,154.943985,34.30884552,58.47979736,143.1371918,87.9285965,95.75968323,3.39765E-05,-0.001723979,-0.001330636,2.5372E-05,6.45596E-05,-0.000255985,,,,,
2023-01-27,154.9304657,34.28826904,58.40041351,143.1349792,87.94172668,95.73917084,-8.72527E-05,-0.000599743,-0.001357458,-1.54574E-05,0.000149328,-0.000214207,,,,,
2023-01-28,154.9263611,34.2986908,58.3645401,143.1266632,87.94457245,95.73216553,-2.64933E-05,0.000303945,-0.000614266,-5.80993E-05,3.23597E-05,-7.31708E-05,,,,,
2023-01-29,154.9265442,34.29959869,58.32164001,143.1246796,87.94250488,95.72299347,1.18189E-06,2.64703E-05,-0.000735037,-1.38594E-05,-2.35099E-05,-9.58096E-05,,,,,
2023-01-30,154.9301758,34.30709076,58.27372742,143.1286774,87.93624878,95.71518402,2.34407E-05,0.00021843,-0.000821523,2.79323E-05,-7.11386E-05,-8.15838E-05,,,,,
2023-01-31,154.9217529,34.31658554,58.23369217,143.1318359,87.9339447,95.70756226,-5.43655E-05,0.000276759,-0.000687021,2.2068E-05,-2.62017E-05,-7.96296E-05,,,,,
2023-02-01,154.9139099,34.31748199,58.20429993,143.1383057,87.94041443,95.70288239,-5.06257E-05,2.6123E-05,-0.000504729,4.52012E-05,7.35748E-05,-4.88976E-05,,,,,
2023-02-02,154.9064636,34.31306076,58.19120026,143.1465912,87.95490265,95.7024437,-4.80673E-05,-0.000128833,-0.000225064,5.78847E-05,0.00016475,-4.58388E-06,,,,,
2023-02-03,154.897522,34.29959869,58.17316437,143.156311,87.9621582,95.69775085,-5.77229E-05,-0.000392331,-0.000309942,6.79014E-05,8.24918E-05,-4.90357E-05,,,,,
2023-02-04,154.8834381,34.26968384,58.21105194,143.1624298,87.97525787,95.70037231,-9.09237E-05,-0.000872163,0.00065129,4.27419E-05,0.000148924,2.73931E-05,,,,,
2023-02-05,154.8632507,34.26485443,58.25852203,143.1723022,87.98956299,95.70969849,-0.000130339,-0.000140924,0.000815482,6.89597E-05,0.000162604,9.74518E-05,,,,,
2023-02-06,154.8610229,34.25343323,58.28277588,143.173233,88.00322723,95.71473846,-1.43855E-05,-0.000333321,0.000416314,6.50116E-06,0.000155294,5.2659E-05,,,,,
2023-02-07,154.8598175,34.25691986,58.26887512,143.1786652,88.01992035,95.7168396,-7.78404E-06,0.000101789,-0.000238505,3.7941E-05,0.000189688,2.19521E-05,,,,,
2023-02-08,154.8645477,34.24192429,58.23318863,143.1781311,88.01141357,95.70584106,3.05452E-05,-0.000437739,-0.000612445,-3.73001E-06,-9.6646E-05,-0.000114907,,,,,
2023-02-09,154.8807526,34.25278473,58.19084167,143.1804352,87.99890137,95.7007431,0.000104639,0.000317168,-0.000727196,1.60924E-05,-0.000142166,-5.3267E-05,,,,,
2023-02-10,154.8942871,34.27536774,58.13987732,143.1782684,87.9967804,95.6969162,8.73869E-05,0.000659304,-0.000875814,-1.5133E-05,-2.41023E-05,-3.99882E-05,,,,,
2023-02-11,154.8523102,34.31169128,58.17207336,143.1635742,87.99486542,95.69890289,-0.000271004,0.001059757,0.000553769,-0.000102629,-2.17619E-05,2.07603E-05,,,,,
2023-02-12,154.7127533,34.33869171,58.24863434,143.1493988,87.96557617,95.68301086,-0.000901226,0.000786916,0.001316112,-9.90155E-05,-0.000332852,-0.000166063,,,,,
2023-02-13,154.5916595,34.34712219,58.27090454,143.1495361,87.94078064,95.66000061,-0.000782701,0.00024551,0.00038233,9.59341E-07,-0.000281878,-0.000240484,,,,,
2023-02-14,154.4758911,34.33636475,58.29275894,143.1487274,87.94345093,95.63943863,-0.000748866,-0.000313198,0.000375048,-5.64945E-06,3.03646E-05,-0.000214949,,,,,
2023-02-15,154.338974,34.33782959,58.3259964,143.1532593,87.95240021,95.62169189,-0.000886333,4.26616E-05,0.000570182,3.16584E-05,0.000101762,-0.000185559,,,,,
2023-02-16,154.2125092,34.33049774,58.37902069,143.162735,87.94298553,95.60554962,-0.000819397,-0.000213521,0.000909102,6.61928E-05,-0.000107043,-0.000168814,,,,,
2023-02-17,154.1314087,34.34626007,58.43029785,143.1795197,87.92379761,95.60225677,-0.000525901,0.000459135,0.000878349,0.000117242,-0.000218186,-3.4442E-05,,,,,
2023-02-18,154.0884399,34.34348297,58.51638794,143.1902161,87.93919373,95.61554413,-0.00027878,-8.0856E-05,0.001473381,7.47063E-05,0.000175108,0.000138986,,,,,
2023-02-19,154.0554962,34.32249451,58.62738037,143.1967163,87.94911957,95.63024139,-0.000213798,-0.000611134,0.001896775,4.53959E-05,0.000112872,0.000153712,,,,,
2023-02-20,154.0400543,34.30423737,58.74944305,143.1928864,87.95977783,95.64927979,-0.000100236,-0.000531929,0.002082008,-2.67461E-05,0.000121187,0.000199083,,,,,
2023-02-21,154.0363922,34.29524231,58.83895874,143.1782837,87.97187805,95.664151,-2.37737E-05,-0.000262214,0.001523686,-0.000101979,0.000137565,0.000155477,,,,,
2023-02-22,154.0520172,34.29128265,58.90472412,143.1696625,87.96843719,95.67722473,0.000101437,-0.000115458,0.001117718,-6.02132E-05,-3.91131E-05,0.000136663,,,,,
2023-02-23,154.0424805,34.30799484,58.93221283,143.171051,87.96840668,95.68442917,-6.1906E-05,0.00048736,0.000466664,9.69863E-06,-3.46915E-07,7.52994E-05,,,,,
2023-02-24,154.0335541,34.33624268,58.94118881,143.1636505,87.96920776,95.68876877,-5.79476E-05,0.00082336,0.00015231,-5.169E-05,9.10652E-06,4.53532E-05,,,,,
2023-02-25,154.0133667,34.37718582,58.92724991,143.1576691,87.97639465,95.69037323,-0.000131058,0.001192418,-0.000236488,-4.17805E-05,8.16978E-05,1.67675E-05,,,,,
2023-02-26,154,34.38551712,58.9227829,143.1337891,87.98078156,95.68457413,-8.67892E-05,0.00024235,-7.58055E-05,-0.000166809,4.98645E-05,-6.06028E-05,,,,,
2023-02-27,153.9897766,34.40193939,58.92436218,143.1159515,87.9852066,95.68344727,-6.63856E-05,0.000477593,2.68026E-05,-0.000124621,5.02956E-05,-1.17768E-05,,,,,
2023-02-28,153.976532,34.4167099,58.93318176,143.1188354,87.97593689,95.6842392,-8.60098E-05,0.000429351,0.000149676,2.01509E-05,-0.000105355,8.27657E-06,,,,,
2023-03-01,153.953186,34.42159271,58.88487244,143.1322632,87.98992157,95.67636719,-0.00015162,0.000141873,-0.00081973,9.38223E-05,0.00015896,-8.22707E-05,,,,,
2023-03-02,153.9424744,34.42443848,58.83786011,143.14151,88.00564575,95.67038574,-6.95774E-05,8.26738E-05,-0.000798377,6.46034E-05,0.000178704,-6.25175E-05,,,,,
2023-03-03,153.951416,34.42401123,58.82343292,143.1490479,88.01161194,95.67190399,5.80844E-05,-1.24111E-05,-0.000245202,5.26601E-05,6.77932E-05,1.58696E-05,,,,,
2023-03-04,153.9728699,34.41884613,58.78841782,143.1478271,88.01241302,95.6680748,0.000139355,-0.000150044,-0.000595258,-8.5275E-06,9.10205E-06,-4.00242E-05,,,,,
2023-03-05,154.004364,34.4024353,58.77515411,143.1369629,87.99917603,95.66361847,0.000204543,-0.000476798,-0.000225618,-7.58954E-05,-0.000150399,-4.65812E-05,,,,,
2023-03-06,154.0516968,34.40553284,58.74584961,143.1361084,87.99446869,95.66673126,0.000307347,9.00382E-05,-0.000498587,-5.96975E-06,-5.3493E-05,3.25389E-05,,,,,
2023-03-07,154.1237183,34.38464355,58.75223923,143.1302185,87.99357605,95.67687912,0.000467515,-0.000607149,0.000108767,-4.11489E-05,-1.01443E-05,0.000106075,,,,,
2023-03-08,154.2080994,34.37865448,58.74101639,143.1325378,87.99017334,95.69009628,0.000547489,-0.000174179,-0.00019102,1.62044E-05,-3.867E-05,0.000138144,,,,,
